Iteration,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30
1,878.9643555791256,879.9204621905802,903.5370352725819,982.6499828143072,887.2846395437939,912.4565264751129,941.4326288355775,1017.2437069889091,985.0428666926823,781.4532388463219,968.1326076374256,894.1018197667926,843.1550412028175,957.7583128213575,955.3181087210268,1001.1202944503827,892.7195715204751,828.0817060342905,984.4371090718753,955.1849745220381,881.1363404321113,1035.388059844169,918.1741854272947,932.6378628736858,949.0512547212294,946.7571328470433,916.9814425408705,979.8725795038557,1036.1111468932231,880.1856323490763
2,754.3912291979414,718.3815488938876,780.5550290711138,755.3676243579248,733.081666553385,838.0162966516601,744.7805326165561,826.1401740631508,782.213730414585,719.7643871950994,771.1087222164273,784.8721402214132,734.8488452476796,778.8460091375492,805.9890327971764,832.7644491971822,718.0516672867245,710.339741201735,848.9409639581132,724.212926940446,756.8671754568591,836.1013123076374,725.9827077287881,696.6684380391182,782.6136931528824,753.2744256483604,735.5645771639049,721.5883674316576,795.1632785143041,711.4522999225297
3,591.8731052209248,602.9428085040112,638.6959037838476,657.3457599989578,573.9932329657464,722.2055882508666,651.7853144492101,626.3733507003161,685.708536457372,589.4621180495664,694.6132828011273,663.6436014513284,640.9138709432194,644.3372682372961,494.8230029099253,774.9803215028943,592.2291873213422,506.114736478691,710.0775979340383,632.2209048903242,644.0035573214786,690.7728191508985,560.4059730350182,680.0429038986624,681.9310199608722,626.844527393466,599.3517349078529,598.4480334759255,702.6852526628164,566.8400788422306
4,540.9317900196276,518.459080701452,560.2731444504541,622.1749836959012,486.4290521614308,578.937041420032,525.3194888861096,561.3912707953652,562.2315379629737,583.1591939860731,538.6897353133338,538.4631907774658,566.969825703967,567.9915376053045,494.8230029099253,645.4738432463419,505.6920547068084,490.48666061257506,610.3105473874108,541.4526643078059,578.715679179874,551.604954649705,533.4249323823788,544.5918150910319,599.0002338428994,476.1642661410154,507.654681903238,488.63385965363636,584.0636581445328,544.5808836124911
5,418.0625512114272,467.95106242666225,450.6664771752084,526.9164794866579,395.4033622381688,478.83220778815115,491.8910364622494,502.80803509731703,528.8883772144379,516.7081719063124,494.2025553532709,520.1684568049252,487.0894611727769,477.89237572882007,448.19244338120694,557.7573238842564,501.32494684130774,457.67435913337476,491.84874485417504,425.83633451067857,446.66792457424543,462.00873291771137,523.8756992039027,484.01299316840766,434.5894331602421,447.46061555944345,419.47144612709104,385.0537367906467,504.7722402328828,490.5072015886021
6,414.5548074301089,379.69860539992175,438.2154345248505,508.800063335808,370.5499975816356,478.83220778815115,442.2558661004594,387.57788266826356,468.53987209602656,409.52136983534973,428.30096132530866,416.97752401835015,419.4638056478269,423.8524156549586,418.5127379424939,500.67054434274814,443.40321853164215,394.7135310067391,491.84874485417504,425.83633451067857,421.79274005917404,415.70052027931763,425.1902561396305,465.3883660246289,427.78823067312135,393.12862133406344,365.88182350629484,385.0537367906467,450.6604184259669,380.8501382172175
7,404.06369891513185,379.69860539992175,402.6683363018398,439.19344819072205,369.3780931770645,405.4767730580658,409.55262008513625,387.57788266826356,402.34995433493197,390.0131301448498,370.60534619816474,365.5697834536235,419.4638056478269,359.8827519566569,387.5351800471079,480.8564058139377,434.0700267343118,366.5881292658978,414.4642030315165,392.56692500089383,389.2975298216891,354.94712367095696,383.992320508999,394.70853830806186,371.44267561886676,393.12862133406344,365.88182350629484,361.31629940186224,390.55311835828934,380.8501382172175
8,379.8777129102141,328.9088762338915,374.9073170057595,385.85249013411993,369.3780931770645,390.3390635406879,366.68856181978634,380.973605961499,333.5365503498694,363.5573665919369,317.262064868662,359.2373997371698,358.7472252061504,359.8827519566569,320.46080352894285,409.6875488409929,369.22102239353774,357.18125167378804,344.3744396931882,264.3089002548079,364.7404987595634,354.94712367095696,383.992320508999,376.34504276628513,353.44104701501675,355.7521432178639,362.941706459007,361.31629940186224,320.8915316899722,366.6995845918211
9,336.9926825862337,328.9088762338915,281.78773153647967,383.2357211956496,325.6353840259222,279.46063148920905,359.3976707006963,359.9793200636078,333.5365503498694,363.5573665919369,317.262064868662,354.68089745657056,335.2250952890475,313.69397145999335,320.46080352894285,390.36746420984826,347.0931375855813,346.7304916506577,298.08979141416074,264.3089002548079,363.82500161304904,354.94712367095696,379.16272814175875,335.87744954653334,340.9642667000153,331.0226156545275,361.48594167017325,316.3548662598552,301.1314814259064,334.79957790008604
10,336.9926825862337,306.93479743473887,281.78773153647967,351.81418690780623,325.6353840259222,279.46063148920905,325.89576231138483,357.06244443165684,326.14081111409206,363.5573665919369,317.262064868662,338.01344715388274,335.2250952890475,299.35012792378325,320.46080352894285,390.36746420984826,276.83364946074965,346.7304916506577,295.9265492727744,264.3089002548079,305.39755657587943,309.00035269481316,378.0969366255977,335.87744954653334,288.53967954641485,326.67219351787367,361.4533179340977,316.3548662598552,301.1314814259064,329.1126616719112
