Iteration,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30
1,680.1517244916473,779.1997705571407,585.7741578268614,720.7643654582109,682.5502610463102,703.6314848323782,721.0646589529283,693.265643729451,680.4886617981057,693.4078496236627,725.6839746526872,730.6078928184219,820.6569074733603,747.4052842600386,615.1195938077185,756.4096252548857,759.1862973615002,679.8297371885997,767.4761088690002,836.2691402495424,790.4834928923856,701.102332070747,634.4565259333863,668.704413476859,773.311894750106,763.6011142778469,714.0800956357671,660.473716742011,701.9983452313984,739.8666742223417
2,635.7456534334357,653.7261404125918,563.5971824835084,588.316393091947,607.5551500170822,580.5783408048114,611.3442764807552,553.69702407219,519.4987266009788,560.5911289505327,516.8343124086003,643.9126018886756,534.4980390493325,636.6803794826507,615.1195938077185,558.9596827462949,636.0590150616835,625.8335900830978,559.0850792845788,689.8900526371548,614.6609165987095,577.7088464457108,516.4409467784398,627.6843840975779,570.0992442288025,527.3496262133715,523.6546609905319,518.4743043305781,503.4253166435444,593.4751649655689
3,432.04898654305487,513.162139083167,527.0891180553652,468.81135013703135,540.0441489749315,531.0048061039699,516.816458747222,420.6583247677788,458.71781135545154,455.7126837801155,406.1887491130129,585.9212611756078,446.8672132827946,465.8778643216676,505.6676304336572,508.00996084204513,493.7281268058057,486.8790601994474,478.865225329395,519.847483356097,527.4872725926782,450.79198507075495,392.5890140446537,476.03998757616205,511.4659342413629,485.72047652424607,460.8805808126458,509.16799892756757,430.8737266928254,479.76046501895803
4,399.31289999310957,513.162139083167,418.1464996827065,405.76765397504533,500.0804046712196,420.34290222146177,411.2237836284252,363.9842683658735,412.7300039967713,400.13755358756316,356.73656249798813,411.00311310846485,412.4998613354581,458.0178018359132,414.9995283838953,448.64347325982,431.604864445091,420.1437125410804,435.45600566256144,502.1506339143052,442.96544246770077,396.1108404180499,372.24743942628635,476.03998757616205,502.2013138380799,485.44767553200916,369.3572018700887,430.21013986201103,417.7578173499078,365.5558386017175
5,398.97222682265647,436.2489117510391,365.6218139541554,405.76765397504533,450.8756081738808,356.8955089779648,411.2237836284252,348.44521240526024,405.3601655951062,386.9245126198651,346.73060969115926,372.37541918959283,351.9580987771712,451.7454803697461,355.8021970634562,414.5229643822088,396.46816556121064,361.5776985255317,395.8447952383541,447.12174373101936,402.26504417537797,345.5209318142137,328.917636259278,438.5087820411516,415.5459214595961,422.25443075758477,362.72981467733695,405.65141420862557,350.5471631316466,365.5558386017175
6,350.8749718415873,425.2429329182945,365.6218139541554,326.58760952642723,369.1927132901686,341.35189128340056,411.2237836284252,310.4841415058906,357.1738455003524,327.0247715786282,333.0140375631633,316.81445560215525,351.9580987771712,389.55358469657847,300.17638771558285,341.95235622202426,385.4206703650361,334.4918676611951,319.5224429376926,396.88886962278764,321.09056561426144,330.21431837015365,274.10078895904684,330.6722207299189,389.9935445577064,348.1102075812343,362.72981467733695,401.97914776504575,350.5471631316466,351.07610922289314
7,301.2461902549866,425.2429329182945,319.76352322985883,326.58760952642723,343.7204762360915,313.4028315310787,398.54851821788293,310.4841415058906,303.0897368531412,313.80371557947905,292.58806647200015,307.60468901443744,297.8099957808386,369.06604527535615,278.1740563175317,318.8791957003584,384.5331659578836,323.9432623978909,319.5224429376926,339.73934737354364,321.09056561426144,330.21431837015365,274.10078895904684,323.8590999990569,343.92742845217344,340.3362058667201,342.84962819170687,388.39305908007213,310.28172132856673,292.89714309911835
8,275.2288547584168,425.2429329182945,308.45087826464817,323.26700650558666,343.7204762360915,313.4028315310787,337.4323571910116,310.4841415058906,273.0157257363664,313.80371557947905,292.58806647200015,291.0200644975961,297.8099957808386,272.44971297613057,255.6886497591238,219.43351111280035,368.5894451025714,298.1379504748773,315.9405830421288,324.78773015121453,298.13638995477964,315.839462524749,274.10078895904684,275.5061889106865,307.03268930267046,340.3362058667201,284.0750595888066,242.15049655512362,261.3769588543941,292.89714309911835
9,275.2288547584168,394.544318262004,276.91882449726296,323.26700650558666,305.88521600822116,311.68620079459953,337.4323571910116,284.2466577971549,273.0157257363664,313.80371557947905,253.2576141335967,234.1098668718294,297.8099957808386,272.44971297613057,239.7389368164638,219.43351111280035,297.9644173715508,256.0292331557285,300.98050222560346,284.98681729585775,228.00139266049274,304.2782582109186,251.23493771573757,252.17620514449698,307.03268930267046,340.3362058667201,284.0750595888066,242.15049655512362,261.3769588543941,250.11334556369738
10,256.49309721174865,330.0366479389946,276.91882449726296,303.36201464806925,305.88521600822116,295.72820451758713,322.6539417697775,234.76824040987287,273.0157257363664,278.41237767493755,253.2576141335967,234.1098668718294,269.53370423038007,272.44971297613057,236.28736975529,219.43351111280035,276.7031611013045,240.73057882219734,248.20976217712533,219.2455409995205,228.00139266049274,276.6939582643329,243.13041152588207,252.17620514449698,283.8200406072687,311.74848558641725,246.09575142918064,242.15049655512362,261.3769588543941,250.11334556369738
