Scenario ID,Search Space LB,Search Space UB,Optimum Value,Trial,Final Fitness,Alpha Position
0,-5.12,5.12,0,1,6.579168519704126,"[-0.004853823258876844, -0.016148266557643787, 0.006953022023156841, 0.03204634037938092, -0.9957429177672603, -0.030158355594522845, 0.006016139195741843, -0.013892833288534412, 0.002507321829686049, -0.009335350511833873, 0.9944456590134552, 0.011295886461208049, 0.012292904238965896, -0.017176269740691197, -0.03667760807213227, 0.028564349975205516, 0.0008324820920320164, 0.023104561797981482, -0.9941955408974126, -0.0020908945970719017, 0.027328683573207613, 0.002251981062868502, -0.9949431444219874, 0.009480555110950029, -0.9963871254975531, 0.02197466494970257, -0.02191455440040002, -0.014739467769605774, 0.002631894307334015, 0.014432520102969804]"
0,-5.12,5.12,0,2,1.1368683772161603e-13,"[8.879157853414199e-09, -5.2402979733301436e-09, 9.147825608124549e-09, 8.48839931677503e-09, -4.6545167720069e-09, -3.3270746158109432e-09, -3.742242071780311e-09, 5.53361978461453e-09, -6.2543374923507145e-09, -1.1169927205401109e-08, 5.4634305968193075e-09, 1.053224263358743e-08, 7.2565526920698176e-09, -6.0669629320386775e-09, -1.0854659393544352e-09, 5.729624774630793e-09, 5.791370938368345e-09, 3.714035301527474e-09, -6.146854580890704e-09, -3.539906145988425e-10, -3.589694763661555e-09, 6.608817493258812e-09, -5.794563939787167e-09, -7.276861779814681e-09, 4.4620209749268724e-09, 1.179066444478849e-08, 7.886333364126585e-09, -6.9228791588216154e-09, -5.802570868240764e-09, -5.223379950791696e-09]"
0,-5.12,5.12,0,3,10.621385563565696,"[-0.042747442103877376, -0.0078703246569658, 0.0003857890266143471, -0.03713235365773304, 0.0027561720873157114, -0.07107947698990724, 0.013610884804630352, -0.0008190268608121443, -1.0027890551189005, -0.026711830682864424, -0.014408712793074763, -0.007707714954414691, 0.0519557768487493, 0.0027188001668152495, 0.0023338281303226793, 0.02217230018954286, -0.930852180185898, 0.0007835321503870674, 0.007590256119293315, 0.04841668234829388, 1.053263189403138, 0.0073536852842694955, 0.04504279520504717, -0.04612290864711621, -0.06428234888191753, 0.9460082276068507, -0.002176937306825444, -0.00045576098509858554, 0.01928504431471012, -0.006873080471787141]"
0,-5.12,5.12,0,4,4.559829067974249,"[0.01533997823647315, 0.0196549107754187, 0.0026091777559633655, -0.002163273152747891, 6.611044034166014e-05, -0.9938550806829047, 0.004288030657030539, 0.022408515131762563, -0.004353240847259521, 0.005545003732751574, 0.005230424817312063, 0.00603165751359569, -0.0008405465667653544, -0.9934460811676162, 0.9951078122441945, -0.00990243798079149, -0.007156066643827508, 0.9948478413849946, 0.015328361845242888, -0.0010171134697083417, -0.00030967900981870855, -0.0223198739572803, -0.002385123329647243, -0.01030131336774609, -0.008369822271236949, 9.879355387276689e-05, 0.0007338676282548917, 0.014223311286479579, -0.01801225667993389, 0.007907821299551365]"
0,-5.12,5.12,0,5,11.174816322245704,"[-0.0003863491109292738, -0.9940942220689237, -0.9923616633396106, 6.492926374335184e-05, 0.008299406088970507, -0.03361914987905301, -0.024338682206557216, -0.04518270561649196, -0.04155157312495561, 0.04020589345744252, -0.008454844457327582, 0.994035525117666, -0.03359034116474113, 0.0022867658044125605, 0.004318566797916645, 0.020701115304842865, 0.9925888497197253, -0.00934002032765946, -0.0014290401101932915, 0.008192147307346076, -0.06276649504963405, 0.9959775219946518, -0.0330783399077097, 0.994950373665854, -0.022135026579008787, -0.02504504522014006, -0.03401547320030751, 0.995110809286027, 0.9951263896828939, 0.0010260012922236328]"
0,-5.12,5.12,0,6,5.684341886080802e-14,"[1.0489645596578612e-08, -3.0336400058672552e-09, 3.342052856680766e-09, 7.666413281981477e-09, 2.0142367773701153e-09, 7.977669191916448e-09, -4.29006341562399e-09, -8.82290951409459e-09, 2.723761660661239e-09, 4.688909704952948e-09, 2.361671747053151e-09, 6.180800760091643e-09, -4.395226405051744e-09, -3.466746889557726e-10, -6.503691807324685e-09, -4.981941081894092e-09, -7.216364394935226e-09, -9.038458870236354e-11, -2.716064706476118e-09, 2.413548472190996e-09, 8.50676595831601e-09, 8.616847679832063e-09, 1.693417850390233e-09, -3.216580779508149e-09, -5.180308626506758e-09, -9.758442054419447e-09, -2.4300987888636882e-09, 1.6399352986695703e-09, 3.405348003582276e-09, -3.520921332267335e-09]"
0,-5.12,5.12,0,7,4.893339784119121,"[-0.02372573115495058, 0.012645149077688878, 6.227343178899503e-06, -0.004488248387915839, -0.002094544082526184, -0.9949850070669637, 0.004996428635448247, -0.011202367246993639, 0.0002763894745321238, 0.9956031558018266, -0.019416564260118285, -0.004626949292599214, 0.01761560536797102, -0.010905757971067409, -0.012118187223854271, -0.011809267509071297, -0.01437379018068885, -0.028862275694702788, -0.011169481699227823, 0.01174602545731318, -0.9947199855195636, -0.00329425162271324, -0.018708267773536846, 0.022396934122111745, 0.01114190244218971, -0.007872576279607024, -0.9936108412948474, -0.015075013968300688, -0.0020771223497435543, 0.003741042340001499]"
0,-5.12,5.12,0,8,9.765997929830405,"[0.03940823306408969, -0.002371752168011554, -0.039182628508790174, 0.035472675719669056, -0.03353661002526831, -0.0011131423117856087, -0.9941327529942976, -0.9944217036118106, 0.027627039615765625, 0.004745205062589797, 0.01711733865561449, 0.007993249864597374, -0.009335609176686077, -0.9940752247582916, 0.03443637729178217, 0.9961458845748181, 0.001982813102269887, 0.016300872325232696, -0.02827098940222328, -0.9950609061436939, 0.028586070855340928, -0.017763859138855587, 0.9946152682120388, -0.00017451476204133343, 0.030649836708054323, -0.9932147196006555, -0.031172162904831602, 0.0023102540672796934, 0.04605876374037887, -0.006120313308597858]"
0,-5.12,5.12,0,9,5.684341886080802e-14,"[8.380060201318429e-09, 9.173567683262718e-09, -4.817954923908019e-09, -6.923261963720506e-10, -5.156728377642139e-10, 3.362696787689856e-10, 5.610816700141186e-09, 1.158881879348428e-09, -2.2859936166241823e-11, 2.737105653238814e-09, 1.2747062072548943e-08, -4.354149929497453e-09, -7.568094595455932e-09, -2.497744233664889e-10, 8.576624743739103e-09, 4.900613248537411e-11, -8.117421401721003e-09, 1.0365761582420419e-09, -7.442865879170313e-09, 5.995361540556132e-09, -2.38850983436123e-09, -6.3508309722237755e-09, 3.980520801860621e-09, 2.333884197014413e-10, 1.1104663855121544e-09, 4.926328678322989e-09, -6.706968314063033e-09, -2.2608936944834568e-10, 8.438666654342342e-09, -7.141558455714403e-09]"
0,-5.12,5.12,0,10,5.002911370604636,"[0.008212652505564577, -0.021956210074750793, -0.0030658837556307716, -0.9948948590875704, -0.010210709798739614, 4.800890947009862e-07, 0.01817512296911783, -0.0026656045429733766, 0.029270834126587708, -0.006846552750801038, -0.025691666707728267, 0.0005980566402916665, -0.006666239173902966, 0.009003653792563071, 0.00845428700746087, 0.027263449148086316, -0.008936526031964931, 0.02318281081050877, 0.00032207660965966056, -0.012969084898391436, 0.9941654087342204, -0.015933864309645607, 0.004908566677030102, -0.9941640913797212, 0.017582682901502444, -0.9942040076466352, -0.00953460388270777, -0.012021866874577292, 0.006820819564415714, -0.0019674355775247676]"
