Scenario ID,Search Space LB,Search Space UB,Optimum Value,Trial,Final Fitness,Alpha Position
0,-5.12,5.12,0,1,15.44897555811633,"[-0.040065012826221214, 0.0012912307060615191, -0.015399761590641603, 0.03353916199933238, -0.0304129485127298, 0.050510660605704416, 0.05873017391903357, -0.0611000211659638, 0.9957567135692891, -0.9950886869526121, -0.040097304743175854, -0.026179918324395146, -0.996724056719235, 0.002121160153331303, -0.9959205766086807, -0.01812677704575183, 0.993758179795952, -0.034795876781714696, -0.9962038469004328, 0.02115155178104189, 0.02010160860679555, -0.046770618388853435, 0.9951113037114077, -0.9977124503107229, -0.044906695083831494, -0.993889174209758, 0.9953025704376541, 0.9946087381095916, 0.0006556822220780134, -0.01827200241241389]"
1,-4.12,6.12,0,1,73.10821537638702,"[-0.036240915247275574, -0.19865126719178194, 0.04055216323227029, 0.05440909145356887, -0.9954210578304976, 0.05395833100121816, -0.9715738600876622, 0.07486194628660403, -0.13977629690204108, 0.04836077165320685, -0.20021048391166474, 0.0008038156682941278, -2.0693169838900167, 1.0090526353017717, 0.0953353394962635, -0.02046375218648322, -0.050981466364371286, -0.2030527609625672, 0.05825240577441093, -0.053769980536414685, 0.04250263686688438, 0.07661985276856242, -0.11417313219912462, 0.04356279063053137, -0.07743496926445204, 1.0215137218299093, 0.04738114701514373, -0.007962125364122663, 1.4993553580417558, 0.1459149805843234]"
2,-3.12,7.12,0,1,8.87618243142191,"[-0.01331135968562247, 0.9967899421109516, 2.1531198473478952e-05, 0.9946575356883578, -0.9951860377348036, -0.0403972780086459, -3.961898510285167e-05, -0.0002656447029698583, -0.9948229079311597, -0.0008749148043167843, 0.02240234948747366, 0.008886637570014955, 0.003588768646863194, 0.0434157226130627, 0.005724274355765946, -0.9954035594602844, 0.04422390988211644, -0.03132446060092997, -0.02151400644303436, -0.006119323510636043, 0.0010212768124402416, 0.01312656208031715, 0.00797558583310165, -0.005617319815288457, 0.02883001414295938, -0.9955925261856655, 0.0031230817923333376, 0.02104517334821887, -0.9919396213264307, -0.018751117249923066]"
3,-2.12,8.12,0,1,8.295447007155303,"[0.025041006250125175, -0.031204606059230144, 0.02640851828170554, -0.019860896035174047, 0.013187175184969036, 0.9946011036756341, 0.0329464413518088, 0.013670669271943048, 0.00037833834317257953, -0.00567662791665402, -0.0017451787291964393, 0.995211291285163, -0.015920038767979428, -0.0018364705407418747, 0.9932062928321592, -0.006109777346681611, 0.018945884381373457, 0.025605018748301678, 0.9936823034955573, 0.002907062758802592, -0.046216465389426364, -0.9934662712025397, -0.04068075515870806, -0.04164326696140819, 0.006896951872437107, -0.016071498620865654, 0.9946426161838642, 0.0005440562559115847, -0.015767361941362967, -0.013820411787913489]"
4,-1.12,9.12,0,1,5.684341886080802e-14,"[-5.650854006944428e-09, -4.1236789538601215e-09, -7.844637162079948e-09, -9.866050643125845e-09, 4.010609178095592e-09, 1.8675596624717627e-09, 2.172076296602654e-09, 2.7146060954663653e-09, 4.370275474840923e-09, 1.0363526259382638e-08, -5.729067664717036e-09, 5.4907507429646785e-09, -3.0127460526330196e-09, 5.015067694458253e-09, -6.899907312174491e-10, 4.3430914420383715e-09, 3.762579803279209e-09, -5.68322011673672e-09, 9.105225462491262e-10, -7.3757604468482896e-09, -4.542086928793765e-09, -1.767745061442838e-09, 7.05679958912242e-09, 5.248999013218736e-09, -5.590197416083242e-09, -1.0291125729366968e-08, -9.078842344578675e-09, -2.858738135103067e-09, 5.303046224369723e-09, -7.900887055711792e-09]"
5,-0.12,10.12,0,1,0.0,"[3.4288540340376983e-09, -3.337396012326188e-09, -1.0094778069014154e-09, -3.990385369356808e-09, -7.535174817441259e-09, 2.2299830593208725e-09, 2.706050786227543e-09, 2.402253840294577e-09, 4.493567976049384e-09, 2.9270624674060386e-09, -4.096846875634164e-09, 1.2148779204856908e-10, -1.3541205379219434e-09, 4.7763352023499905e-09, 5.583004544784664e-09, 1.113656528106688e-09, -2.7382684175680794e-09, 5.799260099914605e-10, -6.156890886011013e-09, -5.350795223568738e-09, -1.6872953034763327e-10, 4.673842715630094e-09, -3.828436540009861e-09, -5.098972938322177e-09, 4.1000003808688845e-09, -6.459869611452618e-09, -4.2529954419334715e-09, 5.8531724606014635e-09, -4.4009155486524065e-09, -1.0780899215023787e-08]"
